Crime Type,Garda Station,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 ,"Killeshandra, Cavan Division",8,6,6,4,12,9,15,5,2,5,7,7,10,3,7
 ,"Swanlinbar, Cavan Division",4,7,3,6,5,5,6,5,4,2,6,7,6,2,1
 ,"Arva, Cavan Division",28,23,43,30,37,42,27,49,38,41,19,18,15,18,20
 ,"Ballinagh, Cavan Division",110,93,109,95,104,139,138,110,89,82,68,100,83,60,58
 ,"Cavan, Cavan Division",101,76,78,100,101,117,112,127,84,78,77,63,50,45,50
 ,"Kilnaleck, Cavan Division",2,1,3,5,5,6,11,6,7,8,3,11,3,5,4
 ,"Clones, Monaghan Division",4,9,7,11,24,3,11,6,10,8,3,7,11,6,10
 ,"Emyvale, Monaghan Division",11,11,21,12,17,22,19,30,23,17,9,23,20,7,10
 ,"Monaghan, Monaghan Division",222,252,263,248,281,263,239,229,224,264,229,290,322,298,285
 ,"Scotstown, Monaghan Division",16,23,17,28,27,17,37,47,35,33,28,18,30,11,20
 ,"Ballybay, Monaghan Division",58,38,38,37,23,25,32,24,26,27,23,38,34,17,16
 ,"Carrickmacross, Monaghan Division",50,24,44,40,29,66,28,48,35,50,29,25,24,12,14
 ,"Castleblayney, Monaghan Division",210,154,203,170,190,251,217,206,262,206,179,186,183,122,156
 ,"Rockcorry, Monaghan Division",8,11,10,11,14,10,11,12,9,5,12,3,10,7,6
 ,"Ballintra, Donegal Division",38,32,16,12,19,17,8,15,17,14,11,12,11,8,12
 ,"Ballyshannon, Donegal Division",70,37,45,68,38,28,50,36,37,23,41,23,24,28,13
 ,"Bundoran, Donegal Division",33,51,29,29,46,31,28,38,32,49,40,33,42,41,31
 ,"Donegal Town, Donegal Division",74,57,57,55,49,51,43,47,44,40,40,33,33,23,21
 ,"Mountcharles, Donegal Division",12,7,6,4,7,8,5,9,11,5,5,2,3,3,2
 ,"Na Cealla Beaga, Donegal Division",28,18,13,16,16,14,29,6,12,12,14,7,17,3,8
 ,"Pettigo, Donegal Division",3,4,0,1,3,9,2,4,5,2,13,7,2,3,1
 ,"Buncrana, Donegal Division",57,65,55,70,71,66,77,64,62,45,65,84,58,22,23
 ,"Burnfoot, Donegal Division",43,59,72,60,39,54,56,39,39,50,44,31,33,16,28
 ,"Carndonagh, Donegal Division",22,26,41,29,37,27,24,31,41,26,29,38,24,14,15
 ,"Clonmany, Donegal Division",7,11,8,13,10,9,8,11,9,4,4,4,3,0,3
 ,"Moville, Donegal Division",34,29,27,32,26,20,37,27,27,11,11,12,7,12,4
 ,"Muff, Donegal Division",36,49,31,29,23,22,23,17,21,17,34,25,19,9,10
 ,"Ballybofey, Donegal Division",85,111,106,92,72,77,81,59,88,44,60,67,64,53,51
 ,"Carrigans, Donegal Division",30,25,17,22,27,25,28,27,31,19,21,10,9,7,6
 ,"Castlefin, Donegal Division",31,22,11,18,19,25,27,19,19,21,9,12,24,8,8
 ,"Convoy, Donegal Division",21,15,29,35,34,31,40,34,28,19,23,16,9,9,14
 ,"Letterkenny, Donegal Division",393,402,420,497,512,501,584,463,493,382,406,428,410,382,346
 ,"Lifford, Donegal Division",32,24,24,30,26,28,27,14,28,11,19,20,10,14,15
 ,"Newtowncunningham, Donegal Division",21,22,26,31,22,27,35,39,31,33,30,18,17,3,11
 ,"Raphoe, Donegal Division",35,31,43,45,37,37,32,32,28,26,18,10,20,5,13
 ,"An Craoslach, Donegal Division",5,8,4,10,5,10,16,5,1,4,0,5,1,3,2
 ,"An Fail Carrach, Donegal Division",25,20,22,23,15,23,19,13,8,13,6,3,8,1,7
 ,"Carraig Airt, Donegal Division",8,12,18,12,16,12,10,8,7,7,23,4,7,7,2
 ,"Dun Fionnachaid, Donegal Division",23,14,10,9,14,17,12,9,4,6,2,7,1,5,1
 ,"Kerrykeel, Donegal Division",13,12,8,7,5,19,16,7,14,4,2,12,12,10,2
 ,"Kilmacrennan, Donegal Division",19,9,20,25,17,20,17,15,10,10,14,14,13,6,8
 ,"Milford, Co Donegal, Donegal Division",18,13,15,15,20,22,16,14,11,16,15,5,18,15,6
 ,"Ramelton, Donegal Division",10,8,6,12,10,9,15,10,11,10,14,6,5,11,8
 ,"Rathmullen, Donegal Division",4,4,5,3,4,7,6,3,1,5,3,5,1,3,4
 ,"Ailt an Chorraiin, Donegal Division",9,7,8,11,10,8,8,7,0,12,3,3,3,2,3
 ,"An Bun Beag, Donegal Division",25,16,24,37,26,30,20,12,11,10,6,8,10,10,3
 ,"An Charraig, Donegal Division",7,5,8,5,5,3,4,2,4,6,2,7,1,6,1
 ,"An Clochain Liath, Donegal Division",18,12,16,30,24,16,21,12,25,15,13,19,14,10,7
 ,"Ard an Raitha, Donegal Division",12,10,8,9,9,10,9,5,6,0,2,5,2,5,4
 ,"Clogher, Donegal Division",3,7,6,4,3,5,11,5,1,6,2,0,0,0,1
 ,"Na Gleannta, Donegal Division",13,8,15,8,7,15,10,5,7,8,10,15,5,8,0
 ,"Ballymote, Sligo Division",20,19,20,14,22,23,30,39,34,34,32,23,9,16,7
 ,"Enniscrone, Sligo Division",23,21,19,34,26,31,30,15,16,19,19,31,9,12,24
 ,"Gurteen, Leitrim Division",7,13,8,5,18,11,15,20,20,24,14,11,11,10,5
 ,"Riverstown, Sligo Division",11,9,12,9,15,19,24,17,21,15,20,11,6,11,10
 ,"Tubbercurry, Sligo Division",18,11,19,24,29,25,37,31,38,30,33,39,37,39,34
 ,"Ballinamore, Leitrim Division",14,9,8,20,15,16,28,27,20,17,10,17,6,12,14
 ,"Carrick-On-Shannon, Leitrim Division",63,80,103,123,111,148,91,96,95,105,123,105,106,100,112
 ,"Carrigallen, Leitrim Division",1,7,8,11,5,4,2,16,3,4,6,7,11,5,3
 ,"Drumshambo, Leitrim Division",26,24,37,17,16,20,25,17,23,15,33,17,17,24,11
 ,"Kinlough, Leitrim Division",23,17,20,24,23,20,19,13,23,10,21,12,18,13,14
 ,"Manorhamilton, Leitrim Division",47,38,39,43,42,67,47,38,52,34,25,46,32,36,40
 ,"Mohill, Leitrim Division",28,38,33,35,59,35,48,31,27,26,41,22,27,17,16
 ,"Collooney, Sligo Division",36,24,24,27,33,30,34,23,27,19,42,27,20,32,31
 ,"Coolaney, Sligo Division",8,8,3,5,6,13,8,8,9,5,9,8,3,6,4
 ,"Grange, Sligo Division",27,23,26,19,17,35,34,21,34,33,30,21,21,22,32
 ,"Rosses Point, Sligo Division",15,15,13,13,8,8,14,8,10,14,20,8,8,17,8
 ,"Skreen, Sligo Division",4,9,2,10,4,3,9,6,3,5,6,5,3,4,2
 ,"Sligo, Sligo Division",684,541,576,692,687,551,523,518,432,424,456,386,318,287,378
 ,"Ardee, Louth Division",48,42,85,96,135,125,128,132,122,109,79,88,104,54,67
 ,"Castlebellingham, Louth Division",41,45,46,48,51,72,81,85,107,97,85,108,148,106,101
 ,"Collon, Louth Division",9,12,20,20,24,38,58,43,29,29,13,15,10,10,6
 ,"Louth, Louth Division",12,15,8,20,13,30,40,26,35,33,12,33,23,10,15
 ,"Clogherhead, Louth Division",33,39,47,25,54,57,48,49,48,42,38,96,29,20,20
 ,"Drogheda, Louth Division",523,618,693,588,813,950,791,755,683,741,594,688,789,592,720
 ,"Dunleer, Louth Division",40,34,40,45,49,68,67,52,48,52,42,50,35,39,38
 ,"Blackrock, Co Louth, Louth Division",54,48,63,83,103,104,65,80,63,71,102,66,85,53,51
 ,"Carlingford, Louth Division",51,43,54,60,87,57,61,70,39,41,61,50,39,29,18
 ,"Drumad, Louth Division",76,63,59,57,61,39,37,71,46,48,71,44,46,22,43
 ,"Dundalk, Louth Division",914,773,746,914,898,979,843,858,742,724,910,853,977,837,697
 ,"Hackballscross, Louth Division",15,18,15,13,21,26,24,31,28,27,22,17,17,17,4
 ,"Omeath, Louth Division",26,28,59,23,39,23,15,23,26,21,13,17,32,5,7
 ,"Crusheen, Clare Division",9,6,8,6,9,7,11,16,6,11,8,7,6,4,5
 ,"Ennis, Clare Division",470,545,376,537,508,535,532,484,442,424,467,461,524,458,442
 ,"Killaloe, Clare Division",90,88,82,100,94,142,116,75,64,68,62,55,51,54,46
 ,"Newmarket on Fergus, Clare Division",26,9,15,18,23,27,25,33,28,18,23,24,19,33,20
 ,"Scariff, Clare Division",20,36,28,24,31,27,33,32,35,26,24,44,35,22,19
 ,"Shannon, Clare Division",191,137,137,165,188,204,172,197,146,108,118,106,166,74,90
 ,"Sixmilebridge, Clare Division",28,44,27,35,58,60,48,39,43,55,38,35,41,22,22
 ,"Tulla, Clare Division",12,19,9,18,15,26,8,16,18,11,11,25,30,18,11
 ,"Ballyvaughan, Clare Division",17,11,9,7,8,18,26,11,4,26,25,11,25,8,12
 ,"Corofin Co. Clare, Clare Division",15,5,7,15,4,14,10,3,8,7,17,14,13,8,16
 ,"Ennistymon, Clare Division",70,49,108,41,52,56,61,72,60,60,65,46,48,46,43
 ,"Kildysart, Clare Division",6,1,8,7,5,11,4,4,4,3,11,5,2,5,0
 ,"Kilkee, Clare Division",25,26,31,32,49,65,44,57,35,41,27,21,20,19,20
 ,"Kilmihil , Clare Division",5,7,4,5,12,11,16,10,15,19,9,8,9,10,6
 ,"Kilrush, Clare Division",41,20,37,37,61,63,39,95,91,103,57,50,52,69,60
 ,"Lisdoonvarna, Clare Division",22,19,26,21,19,28,14,21,15,7,10,14,21,18,28
 ,"Miltown Malbay, Clare Division",32,27,46,29,18,22,36,25,33,25,17,14,11,9,22
 ,"Ballycroy, Mayo Division",3,0,1,1,4,2,2,4,3,2,2,0,3,0,1
 ,"Bangor Erris, Mayo Division",4,9,11,5,13,6,6,11,9,4,6,4,6,6,9
 ,"BÈal an Mhuirthead, Mayo Division",21,15,28,27,26,22,37,29,20,21,13,9,16,15,13
 ,"Gleann na Muaidhe, Mayo Division",4,1,3,3,4,5,3,3,5,3,4,1,4,0,2
 ,"Ballina, Mayo Division",154,153,128,187,240,215,159,181,155,184,180,149,155,110,104
 ,"Bonniconlon, Mayo Division",4,3,4,26,3,7,5,16,14,14,7,9,11,9,5
 ,"Crossmolina, Mayo Division",9,10,19,20,21,19,20,14,18,14,15,17,9,12,5
 ,"Killala, Mayo Division",13,14,6,7,21,22,13,23,14,21,35,18,5,2,8
 ,"Balla, Mayo Division",18,14,21,13,20,14,19,11,13,13,10,15,10,7,6
 ,"Castlebar, Mayo Division",387,307,265,280,253,290,265,226,292,299,323,241,253,255,254
 ,"Partry, Mayo Division",9,8,11,11,14,20,12,21,18,24,16,9,2,4,7
 ,"Ballindine, Mayo Division",20,7,12,8,10,14,18,9,8,8,8,4,11,6,6
 ,"Ballinrobe, Mayo Division",40,37,39,45,54,37,38,32,26,30,42,42,19,25,43
 ,"Claremorris, Mayo Division",90,40,73,72,76,96,114,74,69,99,47,49,46,49,48
 ,"Cong, Mayo Division",27,20,11,5,11,11,14,12,10,15,14,8,8,4,11
 ,"Kilmaine, Mayo Division",2,6,1,7,3,3,4,4,6,6,6,7,3,3,2
 ,"Knock, Mayo Division",26,9,15,6,28,19,14,13,22,25,7,8,14,6,7
 ,"Shrule, Mayo Division",2,9,4,3,6,4,1,4,8,8,3,6,6,2,13
 ,"Ballyhaunis, Mayo Division",32,22,62,51,35,27,49,30,39,40,51,36,33,26,24
 ,"Charlestown, Mayo Division",28,18,32,60,66,47,39,26,32,24,28,24,48,39,35
 ,"Foxford, Mayo Division",17,19,19,16,49,19,26,33,27,22,20,15,13,13,17
 ,"Kilkelly, Mayo Division",7,3,4,8,12,12,21,17,14,17,17,12,7,14,11
 ,"Kiltimagh, Mayo Division",33,35,31,24,30,16,21,19,19,25,13,18,20,6,14
 ,"Swinford, Mayo Division",20,17,38,29,34,31,29,35,37,39,35,37,21,23,28
 ,"Gob an Choire, Mayo Division",4,3,1,6,6,6,4,5,4,12,9,1,2,4,2
 ,"Keel, Mayo Division",5,1,3,1,5,7,4,2,5,12,12,1,4,6,10
 ,"Louisburgh, Mayo Division",7,12,7,13,9,12,16,9,8,14,18,4,5,8,10
 ,"Newport, Co Mayo, Mayo Division",7,12,6,10,8,10,21,10,20,16,17,12,15,7,8
 ,"Westport, Mayo Division",72,68,64,114,68,100,168,76,107,120,103,87,101,61,77
 ,"Ahascragh, Galway Division",3,5,6,4,7,7,12,7,7,9,7,4,2,2,6
 ,"Ballinasloe, Galway Division",116,115,89,151,141,154,241,181,170,125,129,186,162,138,143
 ,"Ballygar, Galway Division",10,12,12,8,10,10,12,10,13,6,9,6,7,5,1
 ,"Creggs, Galway Division",3,1,1,1,3,1,1,3,2,4,3,0,0,0,0
 ,"Kilconnell, Galway Division",4,5,5,4,4,9,3,7,4,12,4,4,3,2,1
 ,"Kiltormer, Galway Division",3,4,4,6,5,6,4,16,10,4,6,1,9,2,5
 ,"Mountbellew, Galway Division",13,27,15,10,11,29,39,16,18,24,14,16,20,8,11
 ,"Moylough, Galway Division",5,6,8,5,6,5,16,3,8,9,7,9,8,7,5
 ,"An Maim, Galway Division",14,8,11,7,8,19,22,21,11,7,17,11,15,5,10
 ,"Carna, Galway Division",6,5,4,13,15,11,9,6,6,4,0,9,7,2,1
 ,"Clifden, Galway Division",50,36,38,33,53,31,34,32,37,25,22,24,24,11,10
 ,"Cloch na Ron, Galway Division",3,5,2,2,4,2,4,4,3,0,0,0,2,1,1
 ,"Letterfrack, Galway Division",7,11,10,16,8,10,3,10,10,9,10,7,4,6,1
 ,"Sraith Salach, Galway Division",1,8,1,3,4,1,5,10,3,1,5,1,1,3,1
 ,"Aran More, Galway Division",140,203,129,126,170,153,131,184,111,150,153,117,121,96,119
 ,"Athenry, Galway Division",11,32,39,45,43,52,59,48,44,38,42,27,33,35,30
 ,"Gaillimh, Galway Division",1387,1258,1678,1866,1794,1859,1482,1407,1115,1270,1225,1184,1252,1044,1171
 ,"Leach Seoirse, Galway Division",24,54,29,46,60,57,69,86,73,69,69,32,33,24,28
 ,"Monivea, Galway Division",0,2,3,5,5,6,10,2,4,6,5,3,5,1,1
 ,"Ardrahan, Galway Division",4,8,13,15,5,9,10,11,5,12,6,3,15,8,5
 ,"Craughwell, Galway Division",27,32,27,44,31,25,33,40,19,22,20,23,20,22,25
 ,"Gort, Galway Division",52,51,49,63,73,76,46,60,43,46,45,59,43,51,34
 ,"Kinvara, Galway Division",19,12,4,3,3,15,9,7,4,11,11,8,10,3,9
 ,"Eyrecourt, Galway Division",1,7,7,6,8,17,9,6,14,20,17,9,10,4,5
 ,"Killimor, Galway Division",6,10,13,8,7,10,6,13,10,12,8,13,10,10,18
 ,"Kilrickle, Galway Division",15,14,12,11,13,16,26,14,14,9,8,4,6,6,7
 ,"Loughrea, Galway Division",123,150,106,103,76,59,97,91,103,67,76,71,74,56,69
 ,"Portumna, Galway Division",53,44,16,31,23,39,39,35,41,33,40,32,41,39,25
 ,"Woodford, Galway Division",8,1,2,6,5,2,8,5,6,4,11,11,6,4,5
 ,"An Cheathru Rua, Galway Division",10,12,11,4,7,13,17,3,3,5,9,1,7,1,5
 ,"An Spideal, Galway Division",37,20,18,21,20,18,24,15,13,20,7,10,5,4,3
 ,"Bothar Na Tra, Galway Division",301,190,222,274,262,202,243,198,183,174,234,136,123,132,169
 ,"Cill Ronain, Galway Division",5,3,9,2,3,8,5,1,4,2,0,1,0,2,4
 ,"Indreabhain, Galway Division",8,7,5,10,7,6,10,10,7,9,6,3,4,3,3
 ,"Leitir Mor, Galway Division",10,1,2,10,5,5,5,3,2,2,3,2,2,4,0
 ,"Maigh Cuilinn, Galway Division",25,13,13,15,15,21,23,23,12,13,7,11,6,6,6
 ,"Oughterard, Galway Division",23,16,10,14,22,47,39,30,18,12,10,12,9,4,6
 ,"Ros Muc, Galway Division",2,3,2,2,3,3,11,4,3,0,1,4,0,1,1
 ,"Barnaderg, Galway Division",2,11,6,9,5,18,15,10,14,12,9,8,9,6,12
 ,"Corofin Co. Galway, Galway Division",4,5,9,9,17,14,16,14,15,12,5,6,11,8,7
 ,"Dunmore, Galway Division",8,8,11,8,5,23,14,20,21,14,20,24,23,12,11
 ,"Glenamaddy, Galway Division",8,6,7,3,4,11,5,6,5,10,4,12,8,8,3
 ,"Headford, Galway Division",11,16,7,16,17,18,17,14,28,20,46,30,22,14,21
 ,"Milltown, Galway Division",3,7,3,9,10,11,18,9,7,9,6,7,11,5,2
 ,"Tuam, Galway Division",136,115,102,104,147,135,114,103,101,95,90,112,141,87,118
 ,"Williamstown, Galway Division",4,14,3,4,13,4,7,5,8,15,14,10,15,4,9
 ,"Boyle, Roscommon Division",36,40,38,48,62,76,60,54,61,45,53,45,44,37,37
 ,"Elphin, Roscommon Division",5,14,11,13,6,6,6,4,7,7,8,4,9,6,6
 ,"Keadue, Roscommon Division",5,3,5,1,4,2,12,13,12,10,10,9,12,5,8
 ,"Roosky, Roscommon Division",15,15,14,18,25,26,24,12,13,24,19,8,12,12,22
 ,"Strokestown, Roscommon Division",9,8,10,20,16,20,20,8,5,12,12,14,7,14,16
 ,"Ballaghderreen, Roscommon Division",30,15,30,48,33,47,29,50,59,81,41,40,51,28,33
 ,"Ballinlough, Roscommon Division",17,8,18,19,9,11,19,8,14,14,18,6,15,9,8
 ,"Castlerea, Roscommon Division",43,33,67,62,60,51,51,43,47,25,40,52,56,47,42
 ,"Frenchpark, Roscommon Division",12,88,18,9,15,28,15,14,5,14,11,11,15,6,4
 ,"Tulsk, Roscommon Division",2,4,14,8,13,15,17,6,10,15,11,4,6,8,8
 ,"Drumlish, Longford Division",6,12,11,4,18,21,13,23,11,6,5,11,18,7,8
 ,"Edgeworthstown, Longford Division",48,34,38,46,65,57,74,67,68,46,57,47,41,34,47
 ,"Granard, Longford Division",54,46,41,51,44,48,42,60,38,44,48,39,27,41,36
 ,"Smear, Longford Division",8,9,3,8,12,6,6,7,8,3,6,8,3,5,7
 ,"Kenagh, Longford Division",5,12,6,5,8,17,15,19,15,15,14,13,14,7,4
 ,"Lanesboro, Longford Division",28,29,12,28,26,28,21,20,28,32,24,17,15,10,10
 ,"Longford, Longford Division",278,315,262,367,316,237,261,266,237,250,292,224,257,322,291
 ,"Ballymahon, Longford Division",11,33,21,31,59,33,42,45,56,56,31,29,25,29,27
 ,"Athleague, Roscommon Division",8,7,11,8,13,10,11,14,12,8,5,4,9,5,7
 ,"Clonark, Roscommon Division",13,15,14,9,16,21,30,22,22,27,16,20,9,17,19
 ,"Roscommon, Roscommon Division",137,125,143,126,132,137,161,134,152,162,115,103,143,117,123
 ,"Taughmaconnell, Roscommon Division",2,3,4,3,3,5,6,5,3,1,1,2,2,0,1
 ,"Mayfield, Cork City Division",148,185,170,174,132,177,152,147,165,120,207,164,132,100,139
 ,"Anglesea Street, Cork City Division",1464,1415,1652,1429,1299,1295,1362,1354,1337,1107,1135,1042,1055,971,1026
 ,"Blackrock, Co Cork, Cork City Division",142,182,243,220,217,294,232,212,212,227,207,242,214,278,266
 ,"Bridewell Cork, Cork City Division",592,523,490,411,437,387,393,424,372,347,479,508,453,442,484
 ,"Ballincollig, Cork City Division",109,115,170,195,179,212,168,209,191,158,146,163,156,140,130
 ,"Blarney, Cork City Division",84,119,149,139,120,144,117,99,110,81,89,64,96,60,87
 ,"Gurranabraher, Cork City Division",255,404,367,314,265,267,293,293,248,200,208,203,206,187,210
 ,"Watercourse Road, Cork City Division",568,691,712,674,720,738,624,516,480,490,550,472,483,393,401
 ,"Bishopstown, Cork City Division",267,284,391,321,328,434,438,368,351,371,317,351,338,285,287
 ,"Carrigaline, Cork City Division",63,75,137,87,137,148,96,120,131,85,108,101,121,82,96
 ,"Crosshaven, Cork City Division",25,20,27,27,35,24,26,42,33,33,22,25,32,18,23
 ,"Douglas, Cork City Division",237,272,286,220,220,265,255,199,220,163,160,227,219,214,251
 ,"Passage West, Cork City Division",37,35,20,40,36,40,57,52,54,61,34,51,32,38,36
 ,"Togher, Cork City Division",296,242,253,222,234,330,241,171,164,162,158,159,140,90,148
 ,"Carrigtwohill, Cork North Division",29,22,47,41,44,37,45,48,46,43,36,43,32,47,36
 ,"Cobh, Cork North Division",110,84,82,82,111,110,93,98,78,72,132,78,91,43,44
 ,"Glanmire, Cork City Division",127,126,173,162,145,120,110,113,121,84,114,112,115,109,141
 ,"Watergrasshill, Cork North Division",26,9,14,17,22,13,21,18,14,10,13,14,26,9,38
 ,"Ballynoe, Cork North Division",13,5,7,10,8,12,3,6,12,15,6,4,5,6,4
 ,"Castletownroche, Cork North Division",12,12,17,26,16,11,11,15,18,13,14,19,17,6,11
 ,"Fermoy, Cork North Division",101,79,85,100,90,81,84,81,75,74,93,101,72,80,55
 ,"Kildorrery, Cork North Division",8,13,15,19,14,13,12,13,14,11,19,13,21,5,12
 ,"Kilworth, Cork North Division",14,5,8,3,6,6,8,11,9,10,10,7,10,4,2
 ,"Mitchelstown, Cork North Division",69,56,55,55,44,76,44,52,55,59,66,75,67,44,47
 ,"Rathcormac, Co Cork, Cork North Division",18,22,27,30,15,27,28,25,22,31,21,25,12,9,8
 ,"Buttevant, Cork North Division",11,18,13,24,23,17,20,21,18,46,19,32,21,23,12
 ,"Charleville, Cork North Division",56,42,39,53,50,86,64,64,120,124,83,91,107,77,82
 ,"Doneraile, Cork North Division",18,13,27,16,10,14,15,20,28,33,19,19,22,16,21
 ,"Glantaine, Cork North Division",10,10,11,8,9,13,13,11,11,10,10,18,11,5,8
 ,"Liscarroll, Cork North Division",4,6,11,8,8,12,16,11,12,9,10,7,8,7,13
 ,"Mallow, Cork North Division",192,134,132,182,169,150,177,163,161,197,195,192,183,168,158
 ,"Milford, Co Cork, Cork North Division",4,5,4,5,7,8,7,10,14,5,9,15,4,10,3
 ,"Ballycotton, Cork North Division",3,11,13,11,7,12,9,6,8,9,9,5,3,0,4
 ,"Cloyne, Cork North Division",6,10,14,10,5,21,22,17,5,11,16,11,7,5,2
 ,"Killeagh, Cork North Division",37,16,25,25,24,19,26,40,18,21,36,17,26,21,16
 ,"Midleton, Cork North Division",111,155,160,144,148,156,164,155,159,126,154,127,159,134,153
 ,"Whitegate, Cork North Division",6,14,21,14,11,20,16,21,17,14,13,9,9,12,12
 ,"Youghal, Cork North Division",124,121,134,138,108,104,95,93,65,93,88,87,58,78,75
 ,"Ballineen, Cork West Division",11,9,4,3,12,8,14,14,19,16,13,17,10,2,15
 ,"Ballinhassig, Cork West Division",16,20,19,39,24,20,30,23,40,27,24,27,13,8,8
 ,"Bandon, Cork West Division",63,108,114,127,113,103,90,70,100,80,103,101,80,76,65
 ,"Innishannon, Cork West Division",12,7,8,10,12,11,7,8,13,9,7,12,11,5,8
 ,"Kilbrittain, Cork West Division",10,1,4,3,7,7,3,5,16,12,14,5,7,0,2
 ,"Kinsale, Cork West Division",120,102,89,101,102,130,101,82,115,90,98,79,59,47,54
 ,"Timoleague, Cork West Division",7,3,7,3,3,6,12,8,15,7,0,2,3,2,5
 ,"Ballydehob, Cork West Division",8,2,4,2,4,7,9,11,4,8,12,7,12,5,4
 ,"Bantry, Cork West Division",69,46,57,71,51,61,98,67,53,24,27,31,31,34,29
 ,"Castletownbere, Cork West Division",19,19,27,32,24,20,18,33,23,22,20,13,9,6,6
 ,"Drimoleague, Cork West Division",12,13,17,15,12,14,11,6,1,10,9,5,8,16,4
 ,"Durrus, Cork West Division",3,4,5,6,9,4,11,4,5,7,4,6,5,4,4
 ,"Glengarriff, Cork West Division",14,12,11,14,6,13,5,8,6,10,11,6,14,2,3
 ,"Kealkil, Cork West Division",4,7,7,6,4,3,4,2,8,3,3,1,4,0,0
 ,"Schull, Cork West Division",37,12,12,28,16,19,20,19,10,22,14,23,8,9,12
 ,"Baltimore, Cork West Division",6,5,6,5,17,7,13,8,4,7,1,1,14,1,4
 ,"Clonakilty, Cork West Division",76,121,64,72,50,55,75,54,77,55,71,70,59,36,49
 ,"Drinagh, Cork West Division",1,1,3,2,3,6,6,2,4,2,1,4,0,0,2
 ,"Dunmanway, Cork West Division",16,22,42,60,39,31,27,26,46,47,38,31,23,14,17
 ,"Rosscarbery, Cork West Division",8,17,12,18,18,23,24,20,18,27,21,14,7,12,9
 ,"Skibbereen, Cork West Division",54,45,56,73,56,61,64,38,34,54,52,39,42,25,23
 ,"Ballydesmond, Cork West Division",6,10,3,7,4,15,10,1,9,6,4,7,7,3,4
 ,"Boherbue, Cork West Division",13,10,7,11,6,16,9,9,12,5,11,13,10,6,9
 ,"Kanturk, Cork North Division",37,37,49,52,60,52,68,67,71,55,62,39,31,30,28
 ,"Millstreet, Co. Cork, Cork West Division",25,32,21,24,25,23,31,23,38,19,31,35,16,12,13
 ,"Newmarket, Cork North Division",18,30,24,18,27,22,24,19,26,21,18,36,21,12,17
 ,"Rathmore, Co Kerry, Cork West Division",20,14,16,24,18,15,23,18,24,21,19,19,18,4,7
 ,"BÈal aÅtha an Ghaorthaidh, Cork West Division",8,7,5,9,6,7,10,4,7,5,4,4,2,3,3
 ,"Baile Bhuirne, Cork West Division",7,5,5,10,9,7,3,10,13,8,16,7,8,11,5
 ,"Coachford, Cork West Division",10,13,11,10,17,6,10,2,15,15,20,30,12,9,6
 ,"Crookstown, Cork West Division",15,19,8,25,27,29,31,23,27,24,25,29,15,15,9
 ,"Macroom, Cork West Division",40,64,97,74,76,64,71,49,45,64,66,60,50,35,31
 ,"Stuake, Cork West Division",5,7,2,8,5,11,7,17,20,7,13,7,12,6,5
 ,"Tarelton, Cork West Division",5,8,3,16,23,19,33,12,27,10,9,16,6,3,5
 ,"An Coirean, Kerry Division",5,6,10,8,4,12,12,8,7,7,9,7,7,12,11
 ,"Barraduff, Kerry Division",2,3,1,5,5,2,0,1,7,4,3,0,1,1,1
 ,"Caherciveen, Kerry Division",15,15,17,19,27,31,28,19,15,9,14,23,36,16,26
 ,"Glenbeigh, Kerry Division",3,6,6,2,0,4,1,0,1,1,4,1,5,4,8
 ,"Kenmare, Kerry Division",21,30,68,44,38,39,49,30,32,20,28,28,21,7,27
 ,"Killarney, Kerry Division",269,231,245,293,239,292,214,280,229,230,265,271,281,185,197
 ,"Killorglin, Kerry Division",19,29,31,18,14,21,17,20,23,10,48,53,37,19,23
 ,"Portmagee, Kerry Division",4,4,7,9,7,6,3,3,4,4,7,1,4,4,3
 ,"Sneem, Kerry Division",11,12,4,6,4,8,4,9,9,7,10,8,2,6,3
 ,"Ballybunion, Kerry Division",47,30,46,43,36,33,33,22,21,21,23,10,15,9,10
 ,"Ballyduff,  Co. Kerry, Kerry Division",7,2,6,11,17,14,7,13,4,4,10,2,4,0,2
 ,"Ballyheigue, Kerry Division",5,4,6,9,6,4,5,13,11,8,6,7,3,3,4
 ,"Knocknagoshel, Kerry Division",9,6,9,12,6,10,13,9,9,3,9,2,3,0,1
 ,"Listowel, Kerry Division",104,77,67,96,90,68,77,83,60,37,66,109,63,55,74
 ,"Lixnaw, Kerry Division",11,5,7,8,12,13,7,12,9,7,12,6,3,1,3
 ,"Tarbert, Kerry Division",8,4,8,15,13,15,6,4,4,3,8,9,10,4,7
 ,"Annascaul, Kerry Division",4,3,4,6,2,4,3,4,1,4,4,2,1,2,3
 ,"Ardfert, Kerry Division",21,13,22,16,26,11,15,15,16,12,5,11,6,5,9
 ,"Baile an FheirtÈaraigh, Kerry Division",2,0,0,4,4,3,0,1,2,3,4,3,6,11,2
 ,"Castlegregory, Kerry Division",10,9,6,4,9,14,16,14,14,21,11,19,10,13,8
 ,"Castleisland, Kerry Division",60,54,32,41,30,39,50,36,35,38,53,34,31,11,20
 ,"Castlemaine, Kerry Division",10,8,24,5,13,5,10,7,9,15,7,11,1,3,3
 ,"Dingle, Kerry Division",12,10,21,19,20,15,17,11,15,9,7,20,27,25,15
 ,"Farranfore, Kerry Division",11,5,8,9,10,19,8,14,11,6,10,7,6,4,2
