,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Sligo Environs, Sligo",1510,1510,1510,1510,1510,1510,1510,1510,1884,1884,1884,1884,1884,1884,1884
"Smithborough, Monaghan",309,309,309,309,309,309,309,309,363,363,363,363,363,363,363
"Sneem, Kerry",279,279,279,279,279,279,279,279,258,258,258,258,258,258,258
"Spa, Kerry",417,417,417,417,417,417,417,417,460,460,460,460,460,460,460
"Stamullen, Meath",2487,2487,2487,2487,2487,2487,2487,2487,3130,3130,3130,3130,3130,3130,3130
"Stradbally, Laois",1056,1056,1056,1056,1056,1056,1056,1056,1154,1154,1154,1154,1154,1154,1154
"Stradbally, Waterford",391,391,391,391,391,391,391,391,420,420,420,420,420,420,420
"Straffan, Kildare",439,439,439,439,439,439,439,439,635,635,635,635,635,635,635
"Stratford, Wicklow",163,163,163,163,163,163,163,163,217,217,217,217,217,217,217
"Strandhill, Sligo",1413,1413,1413,1413,1413,1413,1413,1413,1596,1596,1596,1596,1596,1596,1596
"Strokestown, Roscommon",773,773,773,773,773,773,773,773,814,814,814,814,814,814,814
"Summerhill, Meath",799,799,799,799,799,799,799,799,832,832,832,832,832,832,832
"Suncroft, Kildare",607,607,607,607,607,607,607,607,735,735,735,735,735,735,735
"Swanlinbar, Cavan",266,266,266,266,266,266,266,266,211,211,211,211,211,211,211
"Swinford, Mayo",1502,1502,1502,1502,1502,1502,1502,1502,1435,1435,1435,1435,1435,1435,1435
"Swords, Fingal",33998,33998,33998,33998,33998,33998,33998,33998,36924,36924,36924,36924,36924,36924,36924
"Taghmon, Wexford",674,674,674,674,674,674,674,674,623,623,623,623,623,623,623
"Tallanstown, Louth",653,653,653,653,653,653,653,653,673,673,673,673,673,673,673
"Tallow, Waterford",911,911,911,911,911,911,911,911,962,962,962,962,962,962,962
"Tarbert, Kerry",550,550,550,550,550,550,550,550,551,551,551,551,551,551,551
"Templemore Legal Town, North Tipperary",2255,2255,2255,2255,2255,2255,2255,2255,1941,1941,1941,1941,1941,1941,1941
"Templemore Environs, North Tipperary",129,129,129,129,129,129,129,129,130,130,130,130,130,130,130
"Templemore, North Tipperary",2384,2384,2384,2384,2384,2384,2384,2384,2071,2071,2071,2071,2071,2071,2071
"Templetuohy, North Tipperary",322,322,322,322,322,322,322,322,323,323,323,323,323,323,323
"Termonbarry, Co Roscommon",366,366,366,366,366,366,366,366,366,366,366,366,366,366,366
"Termonfeckin, Louth",653,653,653,653,653,653,653,653,1443,1443,1443,1443,1443,1443,1443
"The Ballagh, Wexford",477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
"The Commons, South Tipperary",152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
"The Swan, Laois",213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
"Thomastown, Kilkenny",1837,1837,1837,1837,1837,1837,1837,1837,2273,2273,2273,2273,2273,2273,2273
"Thurles Legal Town, North Tipperary",6831,6831,6831,6831,6831,6831,6831,6831,6929,6929,6929,6929,6929,6929,6929
"Thurles Environs, North Tipperary",851,851,851,851,851,851,851,851,1004,1004,1004,1004,1004,1004,1004
"Tievebane, Donegal",235,235,235,235,235,235,235,235,351,351,351,351,351,351,351
"Timoleague, Cork",365,365,365,365,365,365,365,365,373,373,373,373,373,373,373
"Tinahely, Wicklow",965,965,965,965,965,965,965,965,970,970,970,970,970,970,970
"Tinriland, Carlow",243,243,243,243,243,243,243,243,418,418,418,418,418,418,418
"Tinure, Louth",387,387,387,387,387,387,387,387,456,456,456,456,456,456,456
"Tipperary Legal Town, South Tipperary",4415,4415,4415,4415,4415,4415,4415,4415,4322,4322,4322,4322,4322,4322,4322
"Tipperary Environs, South Tipperary",650,650,650,650,650,650,650,650,988,988,988,988,988,988,988
"Toomevara, North Tipperary",286,286,286,286,286,286,286,286,311,311,311,311,311,311,311
"Toornafulla, Limerick",152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
"Tower, Cork",3102,3102,3102,3102,3102,3102,3102,3102,3306,3306,3306,3306,3306,3306,3306
"Tralee Legal Town, Kerry",20288,20288,20288,20288,20288,20288,20288,20288,20814,20814,20814,20814,20814,20814,20814
"Tralee Environs, Kerry",2456,2456,2456,2456,2456,2456,2456,2456,2879,2879,2879,2879,2879,2879,2879
"Tramore Legal Town, Waterford",9192,9192,9192,9192,9192,9192,9192,9192,9722,9722,9722,9722,9722,9722,9722
"Tramore Environs, Waterford",442,442,442,442,442,442,442,442,606,606,606,606,606,606,606
"Trim Legal Town, Meath",1375,1375,1375,1375,1375,1375,1375,1375,1441,1441,1441,1441,1441,1441,1441
"Trim Environs, Meath",5495,5495,5495,5495,5495,5495,5495,5495,6827,6827,6827,6827,6827,6827,6827
"Tuam Legal Town, Galway",2997,2997,2997,2997,2997,2997,2997,2997,3348,3348,3348,3348,3348,3348,3348
"Tuam Environs, Galway",3888,3888,3888,3888,3888,3888,3888,3888,4894,4894,4894,4894,4894,4894,4894
"Tubbercurry, Sligo",1421,1421,1421,1421,1421,1421,1421,1421,1747,1747,1747,1747,1747,1747,1747
"Tulla, Clare",645,645,645,645,645,645,645,645,662,662,662,662,662,662,662
"Tullaghan, Leitrim",216,216,216,216,216,216,216,216,228,228,228,228,228,228,228
"Tullamore Legal Town, Offaly",10900,10900,10900,10900,10900,10900,10900,10900,11346,11346,11346,11346,11346,11346,11346
"Tullamore Environs, Offaly",2027,2027,2027,2027,2027,2027,2027,2027,3015,3015,3015,3015,3015,3015,3015
"Tullow, Carlow",3048,3048,3048,3048,3048,3048,3048,3048,3972,3972,3972,3972,3972,3972,3972
"Tullyallen, Louth",1036,1036,1036,1036,1036,1036,1036,1036,1358,1358,1358,1358,1358,1358,1358
"Tulsk, Roscommon",195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
"Turlough, Mayo",272,272,272,272,272,272,272,272,272,272,272,272,272,272,272
"Twomileborris, North Tipperary",550,550,550,550,550,550,550,550,548,548,548,548,548,548,548
"Tyrrellspass, Westmeath",493,493,493,493,493,493,493,493,506,506,506,506,506,506,506
"Unionhall, Cork",192,192,192,192,192,192,192,192,252,252,252,252,252,252,252
"Urlingford, Kilkenny",867,867,867,867,867,867,867,867,973,973,973,973,973,973,973
"Villierstown, Waterford",260,260,260,260,260,260,260,260,279,279,279,279,279,279,279
"Virginia, Cavan",1734,1734,1734,1734,1734,1734,1734,1734,2282,2282,2282,2282,2282,2282,2282
"Waterford City, Waterford",45748,45748,45748,45748,45748,45748,45748,45748,46732,46732,46732,46732,46732,46732,46732
"Waterford Suburbs, Kilkenny",3465,3465,3465,3465,3465,3465,3465,3465,4787,4787,4787,4787,4787,4787,4787
"Watergrasshill, Cork",860,860,860,860,860,860,860,860,1161,1161,1161,1161,1161,1161,1161
"Waterville-Spunkane, Kerry",546,546,546,546,546,546,546,546,465,465,465,465,465,465,465
"Westport Legal Town, Mayo",5163,5163,5163,5163,5163,5163,5163,5163,5543,5543,5543,5543,5543,5543,5543
"Westport Environs, Mayo",312,312,312,312,312,312,312,312,520,520,520,520,520,520,520
"Wexford Borough, Wexford",8854,8854,8854,8854,8854,8854,8854,8854,19913,19913,19913,19913,19913,19913,19913
"Wexford Environs, Wexford",9309,9309,9309,9309,9309,9309,9309,9309,159,159,159,159,159,159,159
"Whitechurch, Cork",408,408,408,408,408,408,408,408,573,573,573,573,573,573,573
"Whitegate, Cork",765,765,765,765,765,765,765,765,1067,1067,1067,1067,1067,1067,1067
"Whitegate, Clare",218,218,218,218,218,218,218,218,176,176,176,176,176,176,176
"Wicklow Legal Town, Wicklow",6930,6930,6930,6930,6930,6930,6930,6930,6761,6761,6761,6761,6761,6761,6761
"Wicklow Environs, Wicklow",3140,3140,3140,3140,3140,3140,3140,3140,3595,3595,3595,3595,3595,3595,3595
"Williamstown, Galway",155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
"Woodford, Galway",301,301,301,301,301,301,301,301,282,282,282,282,282,282,282
"Youghal Legal Town, Cork",6393,6393,6393,6393,6393,6393,6393,6393,6990,6990,6990,6990,6990,6990,6990
"Youghal Environs, Cork",392,392,392,392,392,392,392,392,804,804,804,804,804,804,804
