,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Banagher, Offaly",1636,1636,1636,1636,1636,1636,1636,1636,1653,1653,1653,1653,1653,1653,1653
"Bandon Legal Town, Cork",1721,1721,1721,1721,1721,1721,1721,1721,1917,1917,1917,1917,1917,1917,1917
"Bandon Environs, Cork",4101,4101,4101,4101,4101,4101,4101,4101,4723,4723,4723,4723,4723,4723,4723
"Bangor Erris, Mayo",295,295,295,295,295,295,295,295,293,293,293,293,293,293,293
"Bansha, South Tipperary",272,272,272,272,272,272,272,272,349,349,349,349,349,349,349
"Banteer, Cork",304,304,304,304,304,304,304,304,323,323,323,323,323,323,323
"Bantry Legal Town, Cork",3309,3309,3309,3309,3309,3309,3309,3309,3348,3348,3348,3348,3348,3348,3348
"Barndarrig, Wicklow",233,233,233,233,233,233,233,233,233,233,233,233,233,233,233
"Barntown, Wexford",394,394,394,394,394,394,394,394,461,461,461,461,461,461,461
"Baylin, Westmeath",244,244,244,244,244,244,244,244,244,244,244,244,244,244,244
"Béal an Mhuirthead, Mayo",1074,1074,1074,1074,1074,1074,1074,1074,1089,1089,1089,1089,1089,1089,1089
"Béal Átha an Ghaorthaidh, Cork",234,234,234,234,234,234,234,234,238,238,238,238,238,238,238
"Bearna, Galway",1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
"Beaufort, Kerry",240,240,240,240,240,240,240,240,228,228,228,228,228,228,228
"Beaulieu, Louth",221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
"Belcarra, Mayo",222,222,222,222,222,222,222,222,222,222,222,222,222,222,222
"Belgooly, Cork",535,535,535,535,535,535,535,535,765,765,765,765,765,765,765
"Bellanode, Monaghan",400,400,400,400,400,400,400,400,473,473,473,473,473,473,473
"Bellanagare, Roscommon",134,134,134,134,134,134,134,134,142,142,142,142,142,142,142
"Bellavary, Mayo",147,147,147,147,147,147,147,147,160,160,160,160,160,160,160
"Belmont, Offaly",219,219,219,219,219,219,219,219,209,209,209,209,209,209,209
"Belturbet Legal Town, Cavan",1395,1395,1395,1395,1395,1395,1395,1395,1378,1378,1378,1378,1378,1378,1378
"Belturbet Environs, Cavan",16,16,16,16,16,16,16,16,29,29,29,29,29,29,29
"Bennettsbridge, Kilkenny",685,685,685,685,685,685,685,685,729,729,729,729,729,729,729
"Birr Legal Town, Offaly",4091,4091,4091,4091,4091,4091,4091,4091,4428,4428,4428,4428,4428,4428,4428
"Birr Environs, Offaly and North Tipperary",990,990,990,990,990,990,990,990,1394,1394,1394,1394,1394,1394,1394
"Blacklion, Cavan",174,174,174,174,174,174,174,174,229,229,229,229,229,229,229
"Blarney, Cork",2400,2400,2400,2400,2400,2400,2400,2400,2437,2437,2437,2437,2437,2437,2437
"Blessington, Kildare and Wicklow",4018,4018,4018,4018,4018,4018,4018,4018,5010,5010,5010,5010,5010,5010,5010
"Boherbue, Cork",378,378,378,378,378,378,378,378,333,333,333,333,333,333,333
"Bohola, Mayo",170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
"Borris, Carlow",582,582,582,582,582,582,582,582,646,646,646,646,646,646,646
"Borris-in-Ossory, Laois",488,488,488,488,488,488,488,488,475,475,475,475,475,475,475
"Borrisokane, North Tipperary",832,832,832,832,832,832,832,832,964,964,964,964,964,964,964
"Borrisoleigh, North Tipperary",626,626,626,626,626,626,626,626,708,708,708,708,708,708,708
"Boyle Legal Town, Roscommon",1599,1599,1599,1599,1599,1599,1599,1599,1459,1459,1459,1459,1459,1459,1459
"Boyle Environs, Roscommon",923,923,923,923,923,923,923,923,1129,1129,1129,1129,1129,1129,1129
"Bracknagh, Offaly",240,240,240,240,240,240,240,240,209,209,209,209,209,209,209
"Bray Legal Town, Wicklow",27041,27041,27041,27041,27041,27041,27041,27041,26852,26852,26852,26852,26852,26852,26852
"Bray Environs, Dublin and Wicklow",4860,4860,4860,4860,4860,4860,4860,4860,5020,5020,5020,5020,5020,5020,5020
"Bree, Wexford",201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
"Bridebridge, Cork",208,208,208,208,208,208,208,208,203,203,203,203,203,203,203
"Bridge End, Donegal",334,334,334,334,334,334,334,334,497,497,497,497,497,497,497
"Bridgetown, Wexford",202,202,202,202,202,202,202,202,385,385,385,385,385,385,385
"Brittas, South Dublin",154,154,154,154,154,154,154,154,171,171,171,171,171,171,171
"Broadford, Limerick",313,313,313,313,313,313,313,313,295,295,295,295,295,295,295
"Brosna, Kerry",212,212,212,212,212,212,212,212,210,210,210,210,210,210,210
"Brownstown, Kildare",482,482,482,482,482,482,482,482,846,846,846,846,846,846,846
"Bruachbhailte Cathair na Gaillimhe, Galway",315,315,315,315,315,315,315,315,1249,1249,1249,1249,1249,1249,1249
"Bruff, Limerick",724,724,724,724,724,724,724,724,783,783,783,783,783,783,783
"Bruree, Limerick",321,321,321,321,321,321,321,321,541,541,541,541,541,541,541
"Bunclody-Carrickduff, Carlow and Wexford",1863,1863,1863,1863,1863,1863,1863,1863,2012,2012,2012,2012,2012,2012,2012
"Buncrana Legal Town, Donegal",3411,3411,3411,3411,3411,3411,3411,3411,3452,3452,3452,3452,3452,3452,3452
"Buncrana Environs, Donegal",2500,2500,2500,2500,2500,2500,2500,2500,3387,3387,3387,3387,3387,3387,3387
"Bundoran Legal Town, Donegal",1706,1706,1706,1706,1706,1706,1706,1706,1781,1781,1781,1781,1781,1781,1781
"Bundoran Environs, Donegal",258,258,258,258,258,258,258,258,359,359,359,359,359,359,359
